,Radius,Theta,Phi,LMP.Int.En.
440,5.5,45,45,0.783364338120308
441,6.0,45,45,-7.87212673278094
442,7.0,45,45,-4.70953529750158
443,8.0,45,45,-2.2897963463767
444,9.0,45,45,-1.33551150847802
445,10.0,45,45,-0.942905930919308
446,12.0,45,45,-0.65230148185419
447,15.0,45,45,-0.496318020318444
448,20.0,45,45,-0.376197150090627
449,30.0,45,45,-0.262333361811666
450,3.0,60,45,91830.6898148806
451,3.5,60,45,12659.7755422203
452,4.0,60,45,2120.6607070762
453,4.5,60,45,386.854460560309
454,5.0,60,45,63.5056715129182
455,5.5,60,45,1.86093504709123
456,6.0,60,45,-7.53873626604794
457,7.0,60,45,-5.03166521082725
458,8.0,60,45,-2.49894865504308
459,9.0,60,45,-1.42984479714895
460,10.0,60,45,-0.981339597517859
461,12.0,60,45,-0.657070786985678
462,15.0,60,45,-0.495138049605616
463,20.0,60,45,-0.375369545238684
464,30.0,60,45,-0.241362382310931
465,3.0,75,45,98278.17533742
466,3.5,75,45,14854.0481067164
467,4.0,75,45,2829.39276127522
468,4.5,75,45,607.041934204265
469,5.0,75,45,128.788009623409
470,5.5,75,45,19.4677705517856
471,6.0,75,45,-3.96119343395211
472,7.0,75,45,-5.88906285076939
473,8.0,75,45,-3.06546059691388
474,9.0,75,45,-1.67529788370248
475,10.0,75,45,-1.08090308348911
476,12.0,75,45,-0.673270295466268
477,15.0,75,45,-0.495525007011938
478,20.0,75,45,-0.374757008893288
479,30.0,75,45,-0.253273060852422
480,3.0,90,45,160026.818087133
481,3.5,90,45,35395.5916614544
482,4.0,90,45,9118.03268603196
483,4.5,90,45,2459.6783930113
484,5.0,90,45,664.614772528558
485,5.5,90,45,171.277077028591
486,6.0,90,45,36.8664752343339
487,7.0,90,45,-4.89943914582584
488,8.0,90,45,-4.05405202387592
489,9.0,90,45,-2.18594380589282
490,10.0,90,45,-1.29250873750544
491,12.0,90,45,-0.708994959253583
492,15.0,90,45,-0.498497279406121
493,20.0,90,45,-0.374449141605888
494,30.0,90,45,-0.257205162606539
495,3.0,105,45,1007129.28652468
496,3.5,105,45,310405.158877016
497,4.0,105,45,85260.8766121392
498,4.5,105,45,22230.1730123816
499,5.0,105,45,5741.99645663872
500,5.5,105,45,1490.3361931558
501,6.0,105,45,383.518720428937
502,7.0,105,45,16.8815373243424
503,8.0,105,45,-4.38037126593189
504,9.0,105,45,-3.03778817511594
505,10.0,105,45,-1.68122010033899
506,12.0,105,45,-0.773304358112696
507,15.0,105,45,-0.504455044930964
508,20.0,105,45,-0.374891516851912
509,30.0,105,45,-0.238884464596605
510,3.0,120,45,20665740.2712893
511,3.5,120,45,6209934.9647176
512,4.0,120,45,1392666.92317849
513,4.5,120,45,283396.259474997
514,5.0,120,45,58150.2829546735
515,5.5,120,45,12551.8442783993
516,6.0,120,45,2865.9127927914
517,7.0,120,45,159.321059318171
518,8.0,120,45,2.31724103953327
519,9.0,120,45,-3.85973740402452
520,10.0,120,45,-2.24881155106914
521,12.0,120,45,-0.867487429533816
522,15.0,120,45,-0.51250511520055
523,20.0,120,45,-0.375573454559686
524,30.0,120,45,-0.240650510354142
525,3.0,135,45,654946146.457373
526,3.5,135,45,166635798.552491
527,4.0,135,45,24886006.2857318
528,4.5,135,45,3314668.18864475
529,5.0,135,45,475804.48497436
