,Radius,Theta,Phi,"('OPT', 'INT.EN.')",LMP,Coulomb,Delta.Ener.
664,4.0,60.0,45.0,-3.0717689519005944,2120.6607070761997,-3.59991133805497,2123.7324760281003
665,4.5,60.0,45.0,-3.4785436729252983,386.854460560309,-3.1999211893821955,390.3330042332343
666,5.0,60.0,45.0,-3.4013789169875963,63.505671512918205,-2.8799290704439757,66.90705042990581
667,5.5,60.0,45.0,-3.2246857601712686,1.8609350470912298,-2.618117336767251,5.085620807262498
668,6.0,60.0,45.0,-2.985754819212161,-7.53873626604794,-2.3999408920366467,4.55298144683578
669,7.0,60.0,45.0,-2.494394941506471,-5.03166521082725,-2.0570921931742685,2.5372702693207794
670,8.0,60.0,45.0,-2.0701066567853563,-2.49894865504308,-1.799955669027485,0.42884199825772384
671,9.0,60.0,45.0,-1.7890317851233704,-1.42984479714895,-1.5999605946910977,0.3591869879744203
672,10.0,60.0,45.0,-1.5835105077203482,-0.981339597517859,-1.4399645352219879,0.6021709102024891
673,12.0,60.0,45.0,-1.292501221614657,-0.657070786985678,-1.1999704460183234,0.635430434628979
674,15.0,60.0,45.0,-1.0163539537243196,-0.495138049605616,-0.9599763568146586,0.5212159041187036
675,20.0,60.0,45.0,-0.7517515979889141,-0.375369545238684,-0.7199822676109939,0.3763820527502301
676,4.0,60.0,60.0,-3.5903628146843403,2048.29698737233,-3.59991133805497,2051.8873501870144
677,4.5,60.0,60.0,-3.4832528128026747,365.80009670861705,-3.1999211893821955,369.2833495214197
678,5.0,60.0,60.0,-3.2208593631003173,58.125328993329404,-2.8799290704439757,61.34618835642972
679,5.5,60.0,60.0,-2.973256681318162,1.00247684104648,-2.618117336767251,3.975733522364642
680,6.0,60.0,60.0,-2.714487527002348,-7.26603833690843,-2.3999408920366467,4.551550809906082
681,7.0,60.0,60.0,-2.25283618339381,-4.67411666987488,-2.0570921931742685,2.4212804864810695
682,8.0,60.0,60.0,-1.9344581124496472,-2.3290364248361097,-1.799955669027485,0.39457831238646257
683,9.0,60.0,60.0,-1.7018654706516827,-1.35612887744997,-1.5999605946910977,0.3457365932017127
684,10.0,60.0,60.0,-1.5211564901401289,-0.9481410086305679,-1.4399645352219879,0.5730154815095609
685,12.0,60.0,60.0,-1.2372675856495334,-0.6480465331864279,-1.1999704460183234,0.5892210524631055
686,15.0,60.0,60.0,-0.9791382254406926,-0.49212840579919304,-0.9599763568146586,0.4870098196414996
687,20.0,60.0,60.0,-0.7250403708530939,-0.3740785968139879,-0.7199822676109939,0.350961774039106
688,4.0,60.0,90.0,-3.4374818519681867,1995.2086966307397,-3.59991133805497,1998.646178482708
689,4.5,60.0,90.0,-3.172948047162208,351.925337454302,-3.1999211893821955,355.0982855014642
690,5.0,60.0,90.0,-2.887162835599156,55.65760971838671,-2.8799290704439757,58.544772553985865
691,5.5,60.0,90.0,-2.630242373867077,1.46279094299733,-2.618117336767251,4.093033316864407
692,6.0,60.0,90.0,-2.3930286210306804,-6.32736246105054,-2.3999408920366467,3.9343338400198595
693,7.0,60.0,90.0,-2.0408812037057937,-4.09921409422383,-2.0570921931742685,2.0583328905180367
694,8.0,60.0,90.0,-1.7873626278233132,-2.0726325913657,-1.799955669027485,0.28526996354238676
695,9.0,60.0,90.0,-1.5923538244969675,-1.2433991934991497,-1.5999605946910977,0.34895463099781776
696,10.0,60.0,90.0,-1.4355072186044708,-0.895217292916261,-1.4399645352219879,0.5402899256882099
697,12.0,60.0,90.0,-1.2010989052396326,-0.631797667323443,-1.1999704460183234,0.5693012379161896
698,15.0,60.0,90.0,-0.964568642550148,-0.485831699516851,-0.9599763568146586,0.47873694303329695
699,20.0,60.0,90.0,-0.7251206253931741,-0.37059744131264,-0.7199822676109939,0.3545231840805341
700,4.0,60.0,120.0,-3.3695670570414222,1986.56364522703,-3.59991133805497,1989.9332122840715
701,4.5,60.0,120.0,-3.1157929907312787,350.79639945291495,-3.1999211893821955,353.91219244364623
702,5.0,60.0,120.0,-2.896944977841485,56.302949506807096,-2.8799290704439757,59.19989448464858
703,5.5,60.0,120.0,-2.667890684275335,2.29813269130321,-2.618117336767251,4.966023375578545
704,6.0,60.0,120.0,-2.408848398394184,-5.6639533339451305,-2.3999408920366467,3.2551049355509463
705,7.0,60.0,120.0,-2.0274571548579843,-3.78927579058558,-2.0570921931742685,1.7618186357275958
706,8.0,60.0,120.0,-1.7546822811127643,-1.93746951022185,-1.799955669027485,0.18278722910908574
