,Radius,Theta,Phi,"[('OPT', 'INT.EN.')-('OPT', 'COUL.EN.')]",LMP,Coulomb,Delta.Ener.
2255,4.0,165.0,45.0,-1.4435430609039295,-0.989261823580978,-3.59991133805497,0.45428123732295145
2256,4.5,165.0,45.0,-1.278740531375571,-0.31298698337409697,-3.1999211893821955,0.9657535480014741
2257,5.0,165.0,45.0,-0.9195426810647804,-0.105749284206116,-2.8799290704439757,0.8137933968586645
2258,5.5,165.0,45.0,-0.6964097785641208,-0.0360071019672737,-2.618117336767251,0.660402676596847
2259,6.0,165.0,45.0,-0.5493811570132414,-0.00924562350060203,-2.3999408920366467,0.5401355335126394
2260,7.0,165.0,45.0,-0.20067450236997586,0.00770144629769217,-2.0570921931742685,0.20837594866766804
2261,8.0,165.0,45.0,-0.05204501577303655,0.0119141428450352,-1.799955669027485,0.06395915861807175
2262,9.0,165.0,45.0,-0.029645918184933562,0.0132150621716793,-1.5999605946910977,0.042860980356612864
2263,10.0,165.0,45.0,-0.01833969292752613,0.0136815160300408,-1.4399645352219879,0.03202120895756693
2264,12.0,165.0,45.0,-0.008966764907213598,0.0139504195217788,-1.1999704460183234,0.022917184428992397
2265,15.0,165.0,45.0,-0.008617736010360977,0.0140182835203034,-0.9599763568146586,0.022636019530664377
2266,20.0,165.0,45.0,-0.00528614785673398,0.0140307042804658,-0.7199822676109939,0.01931685213719978
2267,3.0,165.0,60.0,-0.5966459244003484,-4.6716557468175,-4.7998817840732935,4.075009822417151
2268,3.5,165.0,60.0,-1.5433188039455743,-1.9453616698545602,-4.114184386348537,0.40204286590898586
2269,4.0,165.0,60.0,-1.4870760800146088,-0.692735774164037,-3.59991133805497,0.7943403058505718
2270,4.5,165.0,60.0,-1.2155100438732078,-0.24492142969650899,-3.1999211893821955,0.9705886141766988
2271,5.0,165.0,60.0,-0.8759146666482844,-0.0897057997193078,-2.8799290704439757,0.7862088669289766
2272,5.5,165.0,60.0,-0.6861818941426363,-0.0317972079442088,-2.618117336767251,0.6543846861984275
2273,6.0,165.0,60.0,-0.5357524449583178,-0.007997218164105459,-2.3999408920366467,0.5277552267942123
2274,7.0,165.0,60.0,-0.21791960897766405,0.00785437765005279,-2.0570921931742685,0.22577398662771683
2275,8.0,165.0,60.0,-0.030404651308929997,0.0119408206234837,-1.799955669027485,0.0423454719324137
2276,9.0,165.0,60.0,-0.029344354820028284,0.0132211191168442,-1.5999605946910977,0.04256547393687248
2277,10.0,165.0,60.0,-0.0187424751534917,0.013683194483193,-1.4399645352219879,0.0324256696366847
2278,12.0,165.0,60.0,-0.00911964260901943,0.0139506178931712,-1.1999704460183234,0.02307026050219063
2279,15.0,165.0,60.0,-0.006399569638593561,0.0140182999678542,-0.9599763568146586,0.02041786960644776
2280,20.0,165.0,60.0,-0.006431697658093927,0.0140307050560501,-0.7199822676109939,0.020462402714144026
2281,3.0,165.0,90.0,-0.9789832332409165,-3.2379184458614505,-4.7998817840732935,2.2589352126205338
2282,3.5,165.0,90.0,-1.4831893054669294,-1.27363242608751,-4.114184386348537,0.20955687937941936
2283,4.0,165.0,90.0,-1.4080974488637787,-0.48258748603775703,-3.59991133805497,0.9255099628260217
2284,4.5,165.0,90.0,-1.1714731650673849,-0.18753363308337398,-3.1999211893821955,0.9839395319840109
2285,5.0,165.0,90.0,-0.856305313981899,-0.0737594905786069,-2.8799290704439757,0.7825458234032922
2286,5.5,165.0,90.0,-0.635914806136253,-0.0270056459497641,-2.618117336767251,0.6089091601864889
2287,6.0,165.0,90.0,-0.5927038519756362,-0.00641503467197316,-2.3999408920366467,0.5862888173036631
2288,7.0,165.0,90.0,-0.2728962549832814,0.00808020768807133,-2.0570921931742685,0.28097646267135273
2289,8.0,165.0,90.0,-0.07903511754459824,0.0119843425364462,-1.799955669027485,0.09101946008104445
2290,9.0,165.0,90.0,-0.02316354756261063,0.0132317004713649,-1.5999605946910977,0.03639524803397553
2291,10.0,165.0,90.0,-0.011680232470602903,0.0136862748652672,-1.4399645352219879,0.025366507335870103
2292,12.0,165.0,90.0,-0.011315539658730556,0.0139510065710946,-1.1999704460183234,0.025266546229825156
2293,15.0,165.0,90.0,-0.005447080210207567,0.0140183340550746,-0.9599763568146586,0.019465414265282165
2294,20.0,165.0,90.0,-0.00539677034718955,0.0140307067423476,-0.7199822676109939,0.01942747708953715
2295,3.0,165.0,120.0,-0.8082608828786153,-2.9637238361162597,-4.7998817840732935,2.1554629532376444
2296,3.5,165.0,120.0,-1.3146166471116465,-1.14513983787997,-4.114184386348537,0.16947680923167652
2297,4.0,165.0,120.0,-1.2765588735267137,-0.43572596962938204,-3.59991133805497,0.8408329038973317
2298,4.5,165.0,120.0,-1.1659492359811767,-0.17191703736305497,-3.1999211893821955,0.9940321986181218
2299,5.0,165.0,120.0,-0.8943238659798367,-0.0685341241203717,-2.8799290704439757,0.825789741859465
2300,5.5,165.0,120.0,-0.6431579154553742,-0.0251704554002832,-2.618117336767251,0.617987460055091
2301,6.0,165.0,120.0,-0.6344941702438678,-0.00572722026346917,-2.3999408920366467,0.6287669499803986
2302,7.0,165.0,120.0,-0.3370037168435367,0.0081983650764232,-2.0570921931742685,0.3452020819199599
2303,8.0,165.0,120.0,-0.10609455798972656,0.0120101316481913,-1.799955669027485,0.11810468963791786
2304,9.0,165.0,120.0,-0.03119534103405619,0.0132385427443646,-1.5999605946910977,0.044433883778420794
2305,10.0,165.0,120.0,-0.02063472690650392,0.0136883981295456,-1.4399645352219879,0.03432312503604952
2306,12.0,165.0,120.0,-0.009940865845467606,0.0139512985764279,-1.1999704460183234,0.023892164421895505
