,Coordinates,Coordinates,Coordinates,Results
,Radius,Theta,Phi,Int.En.
346,12.0,165.0,30.0,-0.755787274344549
347,15.0,165.0,30.0,-0.59967559264007
348,20.0,165.0,30.0,-0.454805774654593
349,30.0,165.0,30.0,-0.322380987780021
350,1.0,175.0,30.0,7093463.29870448
351,2.0,175.0,30.0,10273.5475315956
352,3.0,175.0,30.0,12668.1947682139
353,4.0,175.0,30.0,569.670984575681
354,5.0,175.0,30.0,11.5830597694764
355,6.0,175.0,30.0,-1.22590497785606
356,7.0,175.0,30.0,-1.36336472608678
357,8.0,175.0,30.0,-1.17247111670956
358,9.0,175.0,30.0,-1.02289279099229
359,10.0,175.0,30.0,-0.909499930939785
360,12.0,175.0,30.0,-0.748276010637616
361,15.0,175.0,30.0,-0.595986779836588
362,20.0,175.0,30.0,-0.453934273476628
363,30.0,175.0,30.0,-0.31297292901824
364,1.0,5.0,45.0,7094216.57663327
365,2.0,5.0,45.0,31132132.2409566
366,3.0,5.0,45.0,38560901286.7388
367,4.0,5.0,45.0,17465.1795350457
368,5.0,5.0,45.0,19.7754140153588
369,6.0,5.0,45.0,-1.41871501556796
370,7.0,5.0,45.0,-1.34672793308646
371,8.0,5.0,45.0,-1.14876385647142
372,9.0,5.0,45.0,-1.00408519279108
373,10.0,5.0,45.0,-0.894446514265757
374,12.0,5.0,45.0,-0.737790505054876
375,15.0,5.0,45.0,-0.589211633832794
376,20.0,5.0,45.0,-0.450214540039026
377,30.0,5.0,45.0,-0.310569891526228
378,1.0,15.0,45.0,7093922.97708522
379,2.0,15.0,45.0,1659601.88970297
380,3.0,15.0,45.0,8138144.01497652
381,4.0,15.0,45.0,2725.68815640033
382,5.0,15.0,45.0,7.20955919833289
383,6.0,15.0,45.0,-1.50052300259237
384,7.0,15.0,45.0,-1.33887986641683
385,8.0,15.0,45.0,-1.14460114213279
386,9.0,15.0,45.0,-1.00234928189889
387,10.0,15.0,45.0,-0.893847892672535
388,12.0,15.0,45.0,-0.737957127274406
389,15.0,15.0,45.0,-0.589328632036001
390,20.0,15.0,45.0,-0.44959306730195
391,30.0,15.0,45.0,-0.319264017158596
392,1.0,30.0,45.0,7093456.20401777
393,2.0,30.0,45.0,13619.7811893179
394,3.0,30.0,45.0,4459.41201128455
395,4.0,30.0,45.0,58.6599195651095
396,5.0,30.0,45.0,-0.976996892533558
397,6.0,30.0,45.0,-1.54761241430239
398,7.0,30.0,45.0,-1.31052208403997
399,8.0,30.0,45.0,-1.12859684422961
400,9.0,30.0,45.0,-0.993330468265834
401,10.0,30.0,45.0,-0.888427595674737
402,12.0,30.0,45.0,-0.735530420384411
403,15.0,30.0,45.0,-0.587710094104511
404,20.0,30.0,45.0,-0.446914915643103
405,30.0,30.0,45.0,-0.302718095451462
406,1.0,45.0,45.0,7093253.63741301
407,2.0,45.0,45.0,1970.71373546643
408,3.0,45.0,45.0,54.8382200680219
409,4.0,45.0,45.0,-0.108996892093919
410,5.0,45.0,45.0,-1.77190903709506
411,6.0,45.0,45.0,-1.5097473749468
412,7.0,45.0,45.0,-1.27924871805911
413,8.0,45.0,45.0,-1.11067271623536
414,9.0,45.0,45.0,-0.982557144673763
415,10.0,45.0,45.0,-0.881580999247841
416,12.0,45.0,45.0,-0.732269017539143
417,15.0,45.0,45.0,-0.585818954408021
418,20.0,45.0,45.0,-0.4444974381163
419,30.0,45.0,45.0,-0.310897182928402
420,1.0,60.0,45.0,7093198.45746281
421,2.0,60.0,45.0,1728.35298624243
422,3.0,60.0,45.0,11.1262127402227
423,4.0,60.0,45.0,-1.85143472279985
424,5.0,60.0,45.0,-1.77176264167511
425,6.0,60.0,45.0,-1.47603662471401
426,7.0,60.0,45.0,-1.25942156871576
427,8.0,60.0,45.0,-1.09920213164402
428,9.0,60.0,45.0,-0.975684480171801
429,10.0,60.0,45.0,-0.87736457174839
430,12.0,60.0,45.0,-0.730653444738323
431,15.0,60.0,45.0,-0.585479605716805
432,20.0,60.0,45.0,-0.444421734390287
433,30.0,60.0,45.0,-0.298701743425101
434,1.0,75.0,45.0,7093189.14214103
435,2.0,75.0,45.0,1717.80746292899
436,3.0,75.0,45.0,9.84139975388805
437,4.0,75.0,45.0,-1.89407614418498
438,5.0,75.0,45.0,-1.75991557817805
439,6.0,75.0,45.0,-1.46936469960366
440,7.0,75.0,45.0,-1.25656179694844
441,8.0,75.0,45.0,-1.09830681639024
442,9.0,75.0,45.0,-0.97583708354629
443,10.0,75.0,45.0,-0.878102376543598
444,12.0,75.0,45.0,-0.731951179458178
445,15.0,75.0,45.0,-0.587167414390501
446,20.0,75.0,45.0,-0.446773820603898
447,30.0,75.0,45.0,-0.308935439225036
448,1.0,90.0,45.0,7093199.34377539
449,2.0,90.0,45.0,1729.12784366761
450,3.0,90.0,45.0,12.1971295527449
451,4.0,90.0,45.0,-1.69463662251938
452,5.0,90.0,45.0,-1.77643179976328
453,6.0,90.0,45.0,-1.49187676368113
454,7.0,90.0,45.0,-1.27228268548395
455,8.0,90.0,45.0,-1.10930856510757
456,9.0,90.0,45.0,-0.983932017322619
457,10.0,90.0,45.0,-0.884335171145992
458,12.0,90.0,45.0,-0.736064127659064
459,15.0,90.0,45.0,-0.589917835512484
460,20.0,90.0,45.0,-0.449081065716556
461,30.0,90.0,45.0,-0.317606332081263
462,1.0,105.0,45.0,7093237.33272302
463,2.0,105.0,45.0,1836.08224348367
464,3.0,105.0,45.0,45.24209131805
465,4.0,105.0,45.0,1.28886097768032
466,5.0,105.0,45.0,-1.65911663420497
467,6.0,105.0,45.0,-1.53506910476082
468,7.0,105.0,45.0,-1.30614713660147
469,8.0,105.0,45.0,-1.13160214906218
470,9.0,105.0,45.0,-0.999153019361643
471,10.0,105.0,45.0,-0.895200403227708
472,12.0,105.0,45.0,-0.742118987850902
473,15.0,105.0,45.0,-0.592646124447634
474,20.0,105.0,45.0,-0.449280913790129
475,30.0,105.0,45.0,-0.304546262780523
476,1.0,120.0,45.0,7093332.25290926
477,2.0,120.0,45.0,2990.06903721105
478,3.0,120.0,45.0,769.746782258986
479,4.0,120.0,45.0,51.9274151737902
480,5.0,120.0,45.0,0.352993637384802
481,6.0,120.0,45.0,-1.51987844108488
482,7.0,120.0,45.0,-1.3507567950587
483,8.0,120.0,45.0,-1.16147951763882
484,9.0,120.0,45.0,-1.01854807901742
485,10.0,120.0,45.0,-0.908399951436685
486,12.0,120.0,45.0,-0.748892635134713
487,15.0,120.0,45.0,-0.595268068053448
488,20.0,120.0,45.0,-0.448904551550807
489,30.0,120.0,45.0,-0.302437766901095
490,1.0,135.0,45.0,7093494.30178929
491,2.0,135.0,45.0,14045.3370661924
492,3.0,135.0,45.0,22971.2532485946
493,4.0,135.0,45.0,914.384061930291
494,5.0,135.0,45.0,16.7679989084096
495,6.0,135.0,45.0,-1.13055141938377
496,7.0,135.0,45.0,-1.38201918165255
497,8.0,135.0,45.0,-1.18942338977717
498,9.0,135.0,45.0,-1.03601335676189
499,10.0,135.0,45.0,-0.91978144418282
500,12.0,135.0,45.0,-0.754507745255129
501,15.0,135.0,45.0,-0.597777546818875
502,20.0,135.0,45.0,-0.450021646450861
503,30.0,135.0,45.0,-0.314616663502761
504,1.0,150.0,45.0,7093617.56567964
505,2.0,150.0,45.0,46597.5639542644
506,3.0,150.0,45.0,236673.413196876
507,4.0,150.0,45.0,5231.4325939641
508,5.0,150.0,45.0,55.3744274412569
509,6.0,150.0,45.0,-0.446052415189215
510,7.0,150.0,45.0,-1.38336863215681
511,8.0,150.0,45.0,-1.20162094686491
512,9.0,150.0,45.0,-1.04320059821693
513,10.0,150.0,45.0,-0.924063779622001
514,12.0,150.0,45.0,-0.756492862463058
515,15.0,150.0,45.0,-0.599233428515443
516,20.0,150.0,45.0,-0.452386433412098
517,30.0,150.0,45.0,-0.306080269246449
518,1.0,165.0,45.0,7093558.13610201
519,2.0,165.0,45.0,26441.442879159
520,3.0,165.0,45.0,76695.5633995929
521,4.0,165.0,45.0,2303.79020527439
522,5.0,165.0,45.0,32.4899670255253
523,6.0,165.0,45.0,-0.814718395444273
524,7.0,165.0,45.0,-1.37642531930324
525,8.0,165.0,45.0,-1.18958257734272
526,9.0,165.0,45.0,-1.03456439665602
527,10.0,165.0,45.0,-0.917752249455018
528,12.0,165.0,45.0,-0.752941043806031
529,15.0,165.0,45.0,-0.59815046853556
530,20.0,165.0,45.0,-0.454068470681246
531,30.0,165.0,45.0,-0.322028915467156
532,1.0,175.0,45.0,7093446.94818902
533,2.0,175.0,45.0,8707.75188882473
534,3.0,175.0,45.0,9199.99690577476
535,4.0,175.0,45.0,439.692256897489
536,5.0,175.0,45.0,9.3328180261911
537,6.0,175.0,45.0,-1.27677375442168
538,7.0,175.0,45.0,-1.36020958083388
539,8.0,175.0,45.0,-1.16925189422119
540,9.0,175.0,45.0,-1.02071595924215
541,10.0,175.0,45.0,-0.907958939722882
542,12.0,175.0,45.0,-0.747382279379239
543,15.0,175.0,45.0,-0.595499787818791
544,20.0,175.0,45.0,-0.453699723220396
545,30.0,175.0,45.0,-0.312882662214178
546,1.0,5.0,60.0,7094216.56925552
547,2.0,5.0,60.0,31132132.2422077
548,3.0,5.0,60.0,38560901286.7404
549,4.0,5.0,60.0,17465.1807806424
550,5.0,5.0,60.0,19.7764122037907
551,6.0,5.0,60.0,-1.41789889367683
552,7.0,5.0,60.0,-1.34604851930564
553,8.0,5.0,60.0,-1.14818991555039
554,9.0,5.0,60.0,-1.00359447599471
555,10.0,5.0,60.0,-0.894022399015361
556,12.0,5.0,60.0,-0.737465669874491
557,15.0,5.0,60.0,-0.588982407873953
558,20.0,5.0,60.0,-0.450072814610222
559,30.0,5.0,60.0,-0.31052228620463
560,1.0,15.0,60.0,7093922.94713737
561,2.0,15.0,60.0,1659601.8929095
562,3.0,15.0,60.0,8138144.01989573
563,4.0,15.0,60.0,2725.69216329447
564,5.0,15.0,60.0,7.21275213022262
565,6.0,15.0,60.0,-1.49792883341894
566,7.0,15.0,60.0,-1.3367318131311
567,8.0,15.0,60.0,-1.14279460213589
568,9.0,15.0,60.0,-1.00081081214665
569,10.0,15.0,60.0,-0.89252376322798
570,12.0,15.0,60.0,-0.736950525244869
571,15.0,15.0,60.0,-0.588628382267273
572,20.0,15.0,60.0,-0.449180601073488
573,30.0,15.0,60.0,-0.319213586087929
574,1.0,30.0,60.0,7093456.09771189
575,2.0,30.0,60.0,13619.7823247936
576,3.0,30.0,60.0,4459.42281745677
577,4.0,30.0,60.0,58.6690707666559
578,5.0,30.0,60.0,-0.969781251882133
579,6.0,30.0,60.0,-1.54183160567017
580,7.0,30.0,60.0,-1.30579388496384
581,8.0,30.0,60.0,-1.12466348733316
582,9.0,30.0,60.0,-0.990013955298231
583,10.0,30.0,60.0,-0.885600755562847
584,12.0,30.0,60.0,-0.733427125029972
585,15.0,30.0,60.0,-0.58631522452463
586,20.0,30.0,60.0,-0.446246608738901
587,30.0,30.0,60.0,-0.303151588871743
588,1.0,45.0,60.0,7093253.31643359
589,2.0,45.0,60.0,1970.68547143061
590,3.0,45.0,60.0,54.8544875771756
591,4.0,45.0,60.0,-0.0928434227639051
592,5.0,45.0,60.0,-1.75924488897318
593,6.0,45.0,60.0,-1.49980842681196
594,7.0,45.0,60.0,-1.27127254837646
595,8.0,45.0,60.0,-1.10414475246364
596,9.0,45.0,60.0,-0.977132856861813
597,10.0,45.0,60.0,-0.877021948150725
598,12.0,45.0,60.0,-0.728975790502279
599,15.0,45.0,60.0,-0.583769398255016
600,20.0,45.0,60.0,-0.44375373833085
601,30.0,45.0,60.0,-0.311759123563864
602,1.0,60.0,60.0,7093197.4947002
603,2.0,60.0,60.0,1728.14827162369
604,3.0,60.0,60.0,11.1326203810343
605,4.0,60.0,60.0,-1.82635599730441
606,5.0,60.0,60.0,-1.7512743136619
607,6.0,60.0,60.0,-1.46035609629068
608,7.0,60.0,60.0,-1.24717835778302
609,8.0,60.0,60.0,-1.08941055928065
